Эл. двигатель ЭД117-02Э-;36;ЭД80-117М5;;;;;
1;шт.;;;;;;
выборка для;(несколько элементов);;;;;;
;;;;;;;
Сводная затрат материала;;;;еи;;;
вид материала;обозначение 2;обозначение 1;обозначение;кг;л;м;шт
;ISOLA 2FO 100 с полиимидн. пленкой 150FN019;2,24;Провод 2FO 100-2,24;41,04;;1106,4;
Проволока;3х3 65Г ГОСТ 11850-72;-;П5АМ5-01-70-003;0,018;;;
;;;ЭД117-01-010-01;0,322;;;
;;;ЭД117-01-010-07;0,026;;;
;;;ЭД117-01-010-08;0,004;;;
;;;ЭД117-02-52-ХХХ шпонка;0,402;;;
;Б-1-0,4 ГОСТ 9389-75;-;ЭД117-01-22-003Б;0,00024;;;
;Б-1-0,8 ГОСТ 9389-75;-;ЭД117-01-30-001;0,00063;;;
;Б-1-1,2 ГОСТ 9389-75;-;ЭД117-01-60-004-03;0,004;;;
;;;ЭД117-06-25-003;0,004;;;
Профиль медный;КМО-1 10,1 ТУ Уз 48-0338-21-94;-;ЭД117-02-64-01-002;37,576;;;
Пруток;ДКРНТ 7,0 НД М1 ГОСТ 1535-91;-;ЭД117-07-50-005Б-02;0,0147;;;
;ДКРНТ 8,0 НД М1 ГОСТ 1535-91;-;ЭД117-07-50-005Б-03;0,0065;;;
;ДКРПП 10х2000 ЛС 59-1 АВ ГОСТ 2060-90;-;ЭД117-01-30-003;0,0759;;;
;ДКРПП-11,0 НД ЛС 59-1 АВ ГОСТ 2060-90;-;ЭД117-01-22-002;0,016;;;
;ДКРПТ 10х2000 М1 АВ ГОСТ 1535-91;-;ЭД117Т-01-53-001;0,0525;;;
;ДКРНТ 4,5 НД М1 ГОСТ 1535-91;-;ЭД117-07-50-005Б;0,006;;;
Смесь резиновая;3826С ТУ У 600152135.040-96;-;ЭД117-02-67-001;0,0585;;;
Стеклотекстолит;СТЭФ-I-0,5 ГОСТ 12652-74;110±1х340±2;ЭД117-02-50-002;0,042;;;
;;90±1х340±2;ЭД117-02-50-001;0,034;;;
;СТЭФ-I-2,0 ГОСТ 12652-74;-;ЭД117-01-60-007;0,2782;;;
Труба;Б20Х ГОСТ 8733-87;40х7 ГОСТ 8734-75;ЭД117-01-60-005;0,744;;;
;;;ЭД117-02-60-005;2,743;;;
;Двн 105х6-35 ТУ 14-3-1941-94;-;ЭД117-02-52-003-ХХ корпус;94,826;;;
;Г20 ГОСТ 8733-87;45х5 ГОСТ 8734-75;ЭД117-01-65-01-001;0,63;;;
;;53х12 ГОСТ 8734-75;ЭД117-02-20-002;1,9;;;
;;60х4 ГОСТ 8734-75;ЭД117-02-30-002;0,43;;;
Трубка;ТТК 11,4/6,8 первый сорт ТУ 6-05-1955-83;-;Трубка ТТК 11,4/6,8;0,055;;1,38;
;Ф-4ДЭ 3,0х0,4 высш. сорта ГОСТ 22056-76;-;Трубка Ф-4 ДЭ 3,0х0,4;;;1,52;
;Ф-4ДЭ 4,0х0,6 ГОСТ 22056-76;-;ЭД117Т-01-53-007;;;0,271;
;;;ЭД117Т-01-53-008;;;0,281;
;;;ЭД117Т-01-53-009;;;0,292;
Фенопласт;03-010-02 черный ГОСТ 5689-79;-;ЭД117-01-004;0,052;;;
Целанекс;2302 GV 1/30;-;ЭД117-01-006;0,05;;;
;;;ЭД117-02-50-003;0,15;;;
Цилиндр;ЦИПЭ 60,5х63х75 И78.0095.104ТУ;-;Цилиндр ЦИПЭ 60,5х63х75;;;;2
Шайба ;5.65Г.029 ГОСТ 6402-70;-;Шайба 5.65Г.029;;;;2
;10.65Г.029 ГОСТ 6402-70;-;Шайба 10.65Г.029;;;;8
Шарик ;5.556-100 ГОСТ 3722-81;-;Шарик 5.556-100;;;;2
Шестигранник;40Х-Б-Н ГОСТ 1051-73;14-h11 ГОСТ 8560-78;ЭД117-01-009Б;0,16;;;
;;;ЭД117-01-017Б;0,156;;;
;45-Б-Н ГОСТ 1051-73;19-h11 ГОСТ 8560-78;ЭД117-01-22-001Б;0,224;;;
Шпилька;ресурсная М10 НС.073.07;-;НС.073.07;;;;6
Гайка;М10 НС.073.12;-;НС.073.12;;;;6
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
